DepaProvDIST,idh,esperanza,secundaria,tiempoedu,percapitaf
APURIMAC_ANDAHUAYLAS_SAN ANTONIO DE CACHI,0.23,76.00,42.81,4.24,167.40
APURIMAC_ANDAHUAYLAS_SAN JERONIMO,0.35,80.08,54.43,6.09,312.90
APURIMAC_ANDAHUAYLAS_SAN MIGUEL DE CHACCRAMPA,0.14,73.15,8.57,3.26,122.00
APURIMAC_ANDAHUAYLAS_SANTA MARIA DE CHICMO,0.27,77.76,35.59,4.30,253.40
APURIMAC_ANDAHUAYLAS_TALAVERA,0.40,76.63,50.01,6.72,479.50
APURIMAC_ANDAHUAYLAS_TUMAY HUARACA,0.19,77.28,17.10,4.07,144.00
APURIMAC_ANDAHUAYLAS_TURPO,0.22,79.21,30.01,4.16,157.50
APURIMAC_ANTABAMBA_ANTABAMBA,0.25,55.55,39.29,6.42,246.00
APURIMAC_ANTABAMBA_EL ORO,0.36,51.72,78.57,7.06,498.60
APURIMAC_ANTABAMBA_HUAQUIRCA,0.24,60.29,14.70,5.74,312.00
APURIMAC_ANTABAMBA_JUAN ESPINOZA MEDRANO,0.18,55.59,16.50,5.57,165.50
APURIMAC_ANTABAMBA_OROPESA,0.22,58.69,18.21,4.90,257.30
APURIMAC_ANTABAMBA_PACHACONAS,0.27,52.57,63.16,6.63,252.20
APURIMAC_ANTABAMBA_SABAINO,0.18,56.84,24.60,5.68,147.50
APURIMAC_AYMARAES_CAPAYA,0.31,63.52,83.33,7.17,237.40
APURIMAC_AYMARAES_CARAYBAMBA,0.25,66.37,34.07,6.62,191.30
APURIMAC_AYMARAES_CHALHUANCA,0.41,69.26,60.01,8.76,459.20
APURIMAC_AYMARAES_CHAPIMARCA,0.20,65.27,33.75,4.35,156.90
APURIMAC_AYMARAES_COLCABAMBA,0.26,68.60,44.76,4.55,226.60
APURIMAC_AYMARAES_COTARUSE,0.32,66.20,51.00,7.34,308.60
APURIMAC_AYMARAES_HUAYLLO,0.29,64.91,57.17,6.66,247.40
APURIMAC_AYMARAES_JUSTO APU SAHUARAURA,0.26,64.41,35.98,5.83,229.80
APURIMAC_AYMARAES_LUCRE,0.24,73.92,41.31,3.46,234.60
APURIMAC_AYMARAES_POCOHUANCA,0.27,63.66,53.06,5.89,234.50
APURIMAC_AYMARAES_SAN JUAN DE CHACNA,0.23,65.31,50.20,3.89,196.70
APURIMAC_AYMARAES_SANAYCA,0.19,68.54,18.18,5.10,144.20
APURIMAC_AYMARAES_SORAYA,0.21,58.54,23.73,4.51,214.60
APURIMAC_AYMARAES_TAPAIRIHUA,0.21,67.37,21.58,4.27,211.70
APURIMAC_AYMARAES_TINTAY,0.23,70.24,46.26,4.28,174.50
APURIMAC_AYMARAES_TORAYA,0.20,70.83,25.34,4.67,144.00
APURIMAC_AYMARAES_YANACA,0.26,64.54,31.24,6.04,239.80
APURIMAC_CHINCHEROS_ANCO-HUALLO,0.30,73.13,41.21,5.85,279.70
APURIMAC_CHINCHEROS_CHINCHEROS,0.32,69.59,37.86,6.71,341.90
APURIMAC_CHINCHEROS_COCHARCAS,0.22,73.92,40.14,5.34,138.00
APURIMAC_CHINCHEROS_HUACCANA,0.29,71.50,34.03,5.69,285.90
APURIMAC_CHINCHEROS_OCOBAMBA,0.19,72.44,39.63,4.78,115.10
APURIMAC_CHINCHEROS_ONGOY,0.23,70.61,17.58,4.38,261.90
APURIMAC_CHINCHEROS_RANRACANCHA,0.21,72.66,28.16,3.58,178.60
APURIMAC_CHINCHEROS_URANMARCA,0.22,76.72,45.80,4.35,148.40
APURIMAC_COTABAMBAS_CHALLHUAHUACHO,0.21,76.93,22.39,4.90,159.80
APURIMAC_COTABAMBAS_COTABAMBAS,0.24,71.86,22.79,5.02,221.50
APURIMAC_COTABAMBAS_COYLLURQUI,0.22,72.67,24.63,4.47,186.20
APURIMAC_COTABAMBAS_HAQUIRA,0.26,78.00,41.06,4.53,211.10
APURIMAC_COTABAMBAS_MARA,0.17,73.00,22.67,4.09,108.90
APURIMAC_COTABAMBAS_TAMBOBAMBA,0.19,68.77,21.49,3.86,175.50
APURIMAC_GRAU_CHUQUIBAMBILLA,0.28,63.96,27.30,7.22,305.40
