"","regionUbigeo","provinciaUbigeo","PROVINCIA","IDE","identidad","salud","educacion","saneamiento","electrificacion","poblacion","costa","capital","tamano","clustDIV"
"53",50000,51100,"VILCAS HUAMAN",0.5349,99.1387,7.8826,72.025,45.8992,37.2551,23412,"NO","NO","Muy pequena",3
"54",60000,60100,"CAJAMARCA",0.7481,98.0678,15.7259,86.1347,76.1244,87.531,368639,"NO","SI","Grande",1
"55",60000,60200,"CAJABAMBA",0.5979,95.2706,6.2862,66.8311,63.4764,62.887,80086,"NO","NO","Pequena",2
"56",60000,60300,"CELENDIN",0.589,96.3898,6.3241,68.4681,57.1751,61.9291,95433,"NO","NO","Pequena",2
"57",60000,60400,"CHOTA",0.5856,95.8657,6.9577,79.134,41.0023,65.2231,167670,"NO","NO","Mediana",2
"58",60000,60500,"CONTUMAZA",0.6327,96.95,8.5074,89.5479,51.3358,64.3249,32602,"NO","NO","Muy pequena",2
"59",60000,60600,"CUTERVO",0.5462,97.1251,10.0209,72.5216,36.2101,50.5428,143667,"NO","NO","Mediana",3
"60",60000,60700,"HUALGAYOC",0.5614,96.224,6.0375,71.3687,51.6709,51.3883,100009,"NO","NO","Mediana",3
"61",60000,60800,"JAEN",0.6372,95.813,10.8123,83.2315,44.7478,76.7748,198354,"NO","NO","Mediana",2
"62",60000,60900,"SAN IGNACIO",0.5762,95.7543,5.6695,76.5965,47.2578,59.029,145478,"NO","NO","Mediana",2
"63",60000,61000,"SAN MARCOS",0.5805,95.5956,4.4653,69.885,66.3363,50.9721,54622,"NO","NO","Pequena",3
"64",60000,61100,"SAN MIGUEL",0.5787,96.5258,6.9082,85.777,48.1129,47.3965,57492,"NO","NO","Pequena",2
"65",60000,61200,"SAN PABLO",0.5587,96.9911,3.7146,75.1291,55.086,45.9765,23885,"NO","NO","Muy pequena",3
"66",60000,61300,"SANTA CRUZ",0.5349,96.0784,6.7198,87.9763,13.79,58.3943,45955,"NO","NO","Muy pequena",2
"67",70000,70100,"CALLAO",0.8514,99.4939,26.4218,89.8493,93.0432,99.2529,969170,"SI","SI","Grande",1
"68",80000,80100,"CUSCO",0.8762,97.8854,30.5147,99.5,90.3696,99.5,427580,"NO","SI","Grande",1
